"";"nom";"prenom";"age";"minutes";"Competition";"year";"saison";"lien"
"1587";"Meret";"Lucas";24;131;"Top 14";1995;"18/19";"http://www.itsrugby.fr/joueur_31215.html"
"1588";"Meret";"Lucas";22;316;"Top 14";1995;"16/17";"http://www.itsrugby.fr/joueur_31215.html"
"1589";"Olowofela";"Jordan";21;520;"Premiership";1998;"18/19";"http://www.itsrugby.fr/joueur_31305.html"
"1590";"Lienert-Brown";"Anton";24;141;"Super Rugby";1995;"18/19";"http://www.itsrugby.fr/joueur_31495.html"
"1591";"Lienert-Brown";"Anton";23;1183;"Super Rugby";1995;"17/18";"http://www.itsrugby.fr/joueur_31495.html"
"1592";"Lienert-Brown";"Anton";22;1190;"Super Rugby";1995;"16/17";"http://www.itsrugby.fr/joueur_31495.html"
"1593";"Lienert-Brown";"Anton";21;858;"Super Rugby";1995;"15/16";"http://www.itsrugby.fr/joueur_31495.html"
"1594";"Lienert-Brown";"Anton";20;251;"Super Rugby";1995;"14/15";"http://www.itsrugby.fr/joueur_31495.html"
"1595";"Lienert-Brown";"Anton";19;63;"Super Rugby";1995;"13/14";"http://www.itsrugby.fr/joueur_31495.html"
"1596";"Chat";"Camille";23;348;"Top 14";1995;"18/19";"http://www.itsrugby.fr/joueur_32153.html"
"1597";"Chat";"Camille";22;767;"Top 14";1995;"17/18";"http://www.itsrugby.fr/joueur_32153.html"
"1598";"Chat";"Camille";21;546;"Top 14";1995;"16/17";"http://www.itsrugby.fr/joueur_32153.html"
"1599";"Chat";"Camille";20;768;"Top 14";1995;"15/16";"http://www.itsrugby.fr/joueur_32153.html"
"1600";"Destruels";"Valentin";22;36;"Top 14";1995;"16/17";"http://www.itsrugby.fr/joueur_32154.html"
"1601";"Destruels";"Valentin";21;80;"Top 14";1995;"15/16";"http://www.itsrugby.fr/joueur_32154.html"
"1602";"Saurs";"Valentin";24;709;"Top 14";1995;"18/19";"http://www.itsrugby.fr/joueur_32158.html"
"1603";"Saurs";"Valentin";23;273;"Top 14";1995;"17/18";"http://www.itsrugby.fr/joueur_32158.html"
"1604";"Saurs";"Valentin";21;26;"Top 14";1995;"15/16";"http://www.itsrugby.fr/joueur_32158.html"
"1605";"Alo";"Biyi";25;9;"Premiership";1994;"18/19";"http://www.itsrugby.fr/joueur_32159.html"
"1606";"Alo";"Biyi";24;305;"Premiership";1994;"17/18";"http://www.itsrugby.fr/joueur_32159.html"
"1607";"Alo";"Biyi";23;255;"Premiership";1994;"16/17";"http://www.itsrugby.fr/joueur_32159.html"
"1608";"Alo";"Biyi";21;18;"Premiership";1994;"14/15";"http://www.itsrugby.fr/joueur_32159.html"
"1609";"Neild";"Cameron";24;220;"Premiership";1994;"18/19";"http://www.itsrugby.fr/joueur_32160.html"
"1610";"Neild";"Cameron";23;408;"Premiership";1994;"17/18";"http://www.itsrugby.fr/joueur_32160.html"
"1611";"Neild";"Cameron";22;1380;"Premiership";1994;"16/17";"http://www.itsrugby.fr/joueur_32160.html"
"1612";"Neild";"Cameron";21;862;"Premiership";1994;"15/16";"http://www.itsrugby.fr/joueur_32160.html"
"1613";"Neild";"Cameron";20;98;"Premiership";1994;"14/15";"http://www.itsrugby.fr/joueur_32160.html"
"1614";"Cridge";"Geoffrey";21;7;"Super Rugby";1995;"15/16";"http://www.itsrugby.fr/joueur_32266.html"
"1615";"Dickson";"Josh";24;139;"Super Rugby";1994;"18/19";"http://www.itsrugby.fr/joueur_32267.html"
"1616";"Dickson";"Josh";23;81;"Super Rugby";1994;"17/18";"http://www.itsrugby.fr/joueur_32267.html"
"1617";"Moli";"Atunaisa";23;24;"Super Rugby";1995;"17/18";"http://www.itsrugby.fr/joueur_32268.html"
"1618";"Moli";"Atunaisa";22;481;"Super Rugby";1995;"16/17";"http://www.itsrugby.fr/joueur_32268.html"
"1619";"Moli";"Atunaisa";21;443;"Super Rugby";1995;"15/16";"http://www.itsrugby.fr/joueur_32268.html"
"1620";"Tucker";"James";22;10;"Super Rugby";1994;"16/17";"http://www.itsrugby.fr/joueur_32269.html"
"1621";"Tucker";"James";21;61;"Super Rugby";1994;"15/16";"http://www.itsrugby.fr/joueur_32269.html"
