"";"nom";"prenom";"club";"saison";"pays";"competition";"nationalite";"link"
"1662";"Potgieter";"Dewald";"Yamaha Jubilo";"13/14";"Japon";"Japon";"Afrique du Sud";"http://www.itsrugby.fr/joueur_4818.html"
"1663";"Potgieter";"Dewald";"Yamaha Jubilo";"13/14";"Japon";"Japon";"Afrique du Sud";"http://www.itsrugby.fr/joueur_4818.html"
"1664";"Steyn";"Francois";"Toshiba Brave Lupus";"14/15";"Japon";"Japon";"Afrique du Sud";"http://www.itsrugby.fr/joueur_4826.html"
"1665";"Steyn";"Francois";"Toshiba Brave Lupus";"14/15";"Japon";"Japon";"Afrique du Sud";"http://www.itsrugby.fr/joueur_4826.html"
"1666";"Matenga";"Hoani";"Kubota Spears";"13/14";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_4861.html"
"1667";"Matenga";"Hoani";"Kubota Spears";"13/14";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_4861.html"
"1668";"Hobbs";"Michael";"Panasonic Wildknights";"13/14";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_4865.html"
"1669";"Hobbs";"Michael";"Panasonic Wildknights";"13/14";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_4865.html"
"1670";"Bateman";"Timothy";"Coca-Cola Red Sparks";"10/11";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_4868.html"
"1671";"Wykes";"Samual";"Coca-Cola Red Sparks";"15/16";"Japon";"Japon";"Australie";"http://www.itsrugby.fr/joueur_4900.html"
"1672";"Pocock";"David";"Panasonic Wildknights";"16/17";"Japon";"Japon";"Australie";"http://www.itsrugby.fr/joueur_4903.html"
"1673";"Gillespie";"Brett";"Toyota Verblitz";"10/11";"Japon";"Japon";"Australie";"http://www.itsrugby.fr/joueur_4908.html"
"1674";"Linde";"Daniel";"Honda Heat";"11/12";"Japon";"Japon";"Australie";"http://www.itsrugby.fr/joueur_4943.html"
"1675";"Fuglistaller";"Scott";"Toyota Industries Shuttles";"16/17";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_4998.html"
"1676";"Lucas";"Benjamin";"Toyota Verblitz";"16/17";"Japon";"Japon";"Australie";"http://www.itsrugby.fr/joueur_5020.html"
"1677";"Hockings";"Tom";"Kintetsu Liners";"12/13";"Japon";"Japon";"Australie";"http://www.itsrugby.fr/joueur_5319.html"
"1678";"King";"Solomon";"Coca-Cola Red Sparks";"13/14";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_5336.html"
"1679";"King";"Solomon";"Coca-Cola Red Sparks";"13/14";"Japon";"Japon";"Nouvelle-Zelande";"http://www.itsrugby.fr/joueur_5336.html"
"1680";"Thomas";"Deryck";"Yamaha Jubilo";"10/11";"Japon";"Japon";"Fidji";"http://www.itsrugby.fr/joueur_5442.html"
"1681";"Kankowski";"Ryan";"Toyota Verblitz";"12/13";"Japon";"Japon";"Afrique du Sud";"http://www.itsrugby.fr/joueur_5548.html"
"1682";"Deysel";"Jean Roy";"Toyota Verblitz";"14/15";"Japon";"Japon";"Afrique du Sud";"http://www.itsrugby.fr/joueur_5563.html"
"1683";"Deysel";"Jean Roy";"Toyota Verblitz";"14/15";"Japon";"Japon";"Afrique du Sud";"http://www.itsrugby.fr/joueur_5563.html"
